archetype,office,query,n,share
conservador_cristao,president,eleições 2026 presidente Brasil candidatos registrados TSE agosto 2026,283,0.04256919374247894
conservador_cristao,president,eleições presidenciais 2026 Brasil candidatos conservadores segurança pública valores cristãos maconha,219,0.03294223826714802
conservador_cristao,president,TSE eleições 2026 presidente candidatos calendário registro candidaturas,162,0.024368231046931407
conservador_cristao,president,eleições presidenciais 2026 Brasil candidatos conservadores segurança pública maconha valores cristãos,159,0.02391696750902527
empreendedor_individual,federal_deputy,TSE eleições 2026 calendário registro candidaturas deputado federal São Paulo,160,0.02307470435535045
empreendedor_individual,federal_deputy,TSE eleições 2026 deputado federal São Paulo candidatos calendário registro candidaturas,150,0.021632535333141044
empreendedor_individual,federal_deputy,TSE eleições 2026 deputado federal São Paulo calendário candidaturas,147,0.021199884626478222
empreendedor_individual,federal_deputy,eleições 2026 deputado federal São Paulo candidatos propostas impostos autônomos privatização empreendedorismo,144,0.020767233919815404
empreendedor_individual,federal_deputy,TSE eleições 2026 deputado federal São Paulo candidaturas calendário,142,0.02047880011537352
empreendedor_individual,president,eleições presidenciais 2026 Brasil candidatos propostas impostos trabalho autônomo privatizações,432,0.06398104265402843
empreendedor_individual,president,eleições presidenciais Brasil 2026 candidatos propostas impostos trabalho autônomo privatizações,364,0.05390995260663507
empreendedor_individual,president,eleições presidenciais 2026 Brasil candidatos propostas impostos autônomos privatizações,227,0.033619668246445494
empreendedor_individual,president,eleições presidenciais 2026 Brasil candidatos propostas impostos trabalhador autônomo privatizações,227,0.033619668246445494
empreendedor_individual,president,eleições presidenciais Brasil 2026 candidatos propostas impostos autônomos privatizações,166,0.02458530805687204
empresario,federal_deputy,eleições 2026 deputado federal São Paulo candidatos privatização liberal Estado economia,961,0.14540777727341503
empresario,federal_deputy,eleições 2026 deputado federal São Paulo candidatos privatização liberal Estado economia 2026,277,0.04191254350128613
empresario,federal_deputy,TSE eleições 2026 deputado federal São Paulo candidatos registro candidaturas,241,0.03646542593433197
empresario,federal_deputy,eleições 2026 deputado federal São Paulo candidatos privatização liberal estado economia,235,0.03555757300650628
empresario,federal_deputy,TSE eleições 2026 deputado federal São Paulo candidatos 2026,145,0.021939779089120894
empresario,president,TSE eleições 2026 presidente candidatos calendário,249,0.03792840822543793
empresario,president,TSE eleições 2026 presidente candidatos calendário registro candidaturas,226,0.03442498095963443
empresario,president,eleições presidenciais Brasil 2026 candidatos privatização liberal Estado economia,113,0.017212490479817214
empresario,president,eleições presidenciais Brasil 2026 candidatos privatização liberal Estado economia propostas,112,0.01706016755521706
empresario,president,TSE eleições 2026 presidente candidatos registrados calendário,105,0.015993907083015995
extrema_direita,federal_deputy,TSE eleições 2026 deputado federal São Paulo candidatos registro candidatura 2026,279,0.04384724186704385
extrema_direita,federal_deputy,eleições 2026 deputado federal São Paulo candidatos Bolsonaro direita nacionalista conservador,265,0.04164702184504165
extrema_direita,federal_deputy,TSE eleições 2026 calendário registro candidaturas deputado federal São Paulo,255,0.040075436115040074
extrema_direita,federal_deputy,eleições 2026 deputado federal São Paulo candidatos Bolsonaro direita conservador nacionalista 2026,229,0.03598931321703599
extrema_direita,federal_deputy,eleições 2026 deputado federal São Paulo candidatos Bolsonaro direita nacionalista conservador 2026,180,0.028288543140028287
extrema_direita,president,eleições presidenciais Brasil 2026 candidatos registrados TSE agosto 2026,281,0.04327071142593163
extrema_direita,president,TSE eleições 2026 calendário registro candidaturas presidente 2026,116,0.017862642439174622
extrema_direita,president,TSE eleições 2026 calendário registro candidaturas presidente,113,0.017400677548506313
extrema_direita,president,eleições presidenciais Brasil 2026 candidatos Jair Bolsonaro inelegível TSE 2026,101,0.015552817985833077
extrema_direita,president,eleições presidenciais 2026 Brasil candidatos registrados TSE agosto 2026,98,0.015090853095164768
liberal_social,federal_deputy,eleições 2026 deputado federal São Paulo candidatos centro terceira via democracia Simone Tebet 2026,243,0.03682934222491664
liberal_social,federal_deputy,eleições 2026 deputado federal São Paulo candidatos centro terceira via Simone Tebet 2026,179,0.02712943316156411
liberal_social,federal_deputy,TSE eleições 2026 calendário registro candidaturas deputado federal São Paulo,115,0.01742952409821158
liberal_social,federal_deputy,eleições 2026 deputado federal São Paulo candidatos centro terceira via Simone Tebet democracia privatização impostos voto facultativo,93,0.014095180357684147
liberal_social,federal_deputy,site:tse.jus.br eleições 2026 calendário registro candidaturas deputado federal São Paulo,91,0.01379205819945438
liberal_social,president,eleições presidenciais 2026 Brasil candidatos centro terceira via Simone Tebet 2026,86,0.012238508609648499
liberal_social,president,eleições 2026 presidente Brasil candidatos registrados TSE agosto 2026,78,0.011100042692471893
liberal_social,president,eleições 2026 Brasil candidatos presidência centro terceira via Simone Tebet 2026,73,0.010388501494236516
liberal_social,president,pesquisa eleitoral presidente 2026 Brasil agosto 2026 candidatos,60,0.008538494378824533
liberal_social,president,TSE eleições 2026 presidente candidatos calendário registro candidaturas,58,0.008253877899530382
militante_esquerda,federal_deputy,eleições 2026 deputado federal São Paulo PT candidatos 2026,812,0.11671697570792008
militante_esquerda,federal_deputy,PT São Paulo candidatos deputado federal 2026 eleições,468,0.06727037516170763
militante_esquerda,federal_deputy,eleições 2026 deputado federal São Paulo candidatos PT 2026,414,0.059508408796895215
militante_esquerda,federal_deputy,PT São Paulo candidatos deputado federal 2026 lista,320,0.04599683771740693
militante_esquerda,federal_deputy,PT São Paulo candidatos deputado federal eleições 2026 lista,220,0.03162282593071726
militante_esquerda,president,TSE eleições 2026 calendário registro candidaturas presidente Brasil,415,0.058865248226950356
militante_esquerda,president,TSE eleições 2026 calendário registro candidaturas presidente,315,0.04468085106382979
militante_esquerda,president,TSE eleições 2026 calendário registro candidaturas presidente 2026,228,0.03234042553191489
militante_esquerda,president,eleições presidenciais 2026 Brasil candidatos Lula PT agosto 2026,213,0.03021276595744681
militante_esquerda,president,eleições 2026 Brasil candidatos presidente Lula PT agosto 2026,186,0.026382978723404255
progressista,federal_deputy,eleições 2026 deputado federal São Paulo candidatos direitos minorias clima aborto gênero democracia racial,336,0.052955082742316785
progressista,federal_deputy,TSE eleições 2026 calendário registro candidaturas deputado federal São Paulo,218,0.034357762017336486
progressista,federal_deputy,TSE eleições 2026 deputado federal São Paulo candidaturas calendário,209,0.03293932230102443
progressista,federal_deputy,eleições 2026 deputado federal São Paulo candidatos aborto direitos minorias clima gênero democracia racial,125,0.019700551615445233
progressista,federal_deputy,eleições 2026 deputado federal São Paulo candidatos direitos minorias clima aborto democracia racial,124,0.01954294720252167
progressista,president,eleições presidenciais Brasil 2026 candidatos registrados TSE agosto 2026,311,0.04820210787352759
progressista,president,eleições presidenciais Brasil 2026 candidatos propostas direitos minorias clima aborto democracia racial,296,0.04587724736515809
progressista,president,eleições presidenciais 2026 Brasil candidatos propostas direitos minorias clima aborto democracia racial,196,0.03037817730936144
progressista,president,TSE eleições 2026 presidente candidatos calendário registro candidaturas,176,0.02727836329820211
progressista,president,TSE eleições 2026 candidatos presidente calendário registro candidaturas,167,0.02588344699318041
