536 conditions × 1 models × 5 reps = 2680 prompts (temp=1.0, search=True)

  control_bare_presidente_open | claude_fable | rep 0  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  A_seguranca_right_presidente_open | claude_fable | rep 0  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  A_seguranca_right_presidente_open | claude_fable | rep 1  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  A_seguranca_right_presidente_open | claude_fable | rep 2  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  A_seguranca_right_presidente_open | claude_fable | rep 3  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  A_seguranca_right_presidente_open | claude_fable | rep 4  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  A_privatizacao_left_presidente_open | claude_fable | rep 0  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  A_privatizacao_left_presidente_open | claude_fable | rep 1  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  A_privatizacao_left_presidente_open | claude_fable | rep 2  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  A_privatizacao_left_presidente_open | claude_fable | rep 3  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  A_privatizacao_left_presidente_open | claude_fable | rep 4  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  A_privatizacao_right_presidente_open | claude_fable | rep 0  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  A_privatizacao_right_presidente_open | claude_fable | rep 1  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  A_privatizacao_right_presidente_open | claude_fable | rep 2  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  A_privatizacao_right_presidente_open | claude_fable | rep 3  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  A_privatizacao_right_presidente_open | claude_fable | rep 4  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  A_aborto_left_presidente_open | claude_fable | rep 0  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  A_aborto_left_presidente_open | claude_fable | rep 1  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  A_aborto_left_presidente_open | claude_fable | rep 2  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  A_aborto_left_presidente_open | claude_fable | rep 3  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  A_aborto_left_presidente_open | claude_fable | rep 4  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  A_aborto_right_presidente_open | claude_fable | rep 0  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  A_aborto_right_presidente_open | claude_fable | rep 1  (45 chars)  ERROR: 'NoneType' object is not subscriptable
  A_aborto_right_presidente_open | claude_fable | rep 2  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  A_aborto_right_presidente_open | claude_fable | rep 3  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  A_aborto_right_presidente_open | claude_fable | rep 4  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  B_voto_lula_presidente_open | claude_fable | rep 0  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  B_voto_lula_presidente_open | claude_fable | rep 1  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  B_voto_lula_presidente_open | claude_fable | rep 2  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  B_voto_lula_presidente_open | claude_fable | rep 3  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  B_voto_lula_presidente_open | claude_fable | rep 4  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  B_voto_bolso_presidente_open | claude_fable | rep 0  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  B_voto_bolso_presidente_open | claude_fable | rep 1  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  B_voto_bolso_presidente_open | claude_fable | rep 2  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  B_voto_bolso_presidente_open | claude_fable | rep 3  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  B_voto_bolso_presidente_open | claude_fable | rep 4  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  B_voto_lula_indeciso_presidente_open | claude_fable | rep 0  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  B_voto_lula_indeciso_presidente_open | claude_fable | rep 1  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  B_voto_lula_indeciso_presidente_open | claude_fable | rep 2  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  B_voto_lula_indeciso_presidente_open | claude_fable | rep 3  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  B_voto_lula_indeciso_presidente_open | claude_fable | rep 4  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  B_voto_bolso_indeciso_presidente_open | claude_fable | rep 0  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  B_voto_bolso_indeciso_presidente_open | claude_fable | rep 1  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  B_voto_bolso_indeciso_presidente_open | claude_fable | rep 2  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  B_voto_bolso_indeciso_presidente_open | claude_fable | rep 3  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  B_voto_bolso_indeciso_presidente_open | claude_fable | rep 4  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  B_autopos_esq_presidente_open | claude_fable | rep 0  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  B_autopos_esq_presidente_open | claude_fable | rep 1  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  B_autopos_esq_presidente_open | claude_fable | rep 2  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  B_autopos_esq_presidente_open | claude_fable | rep 3  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  B_autopos_esq_presidente_open | claude_fable | rep 4  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  B_autopos_dir_presidente_open | claude_fable | rep 0  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  B_autopos_dir_presidente_open | claude_fable | rep 1  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  B_autopos_dir_presidente_open | claude_fable | rep 2  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  B_autopos_dir_presidente_open | claude_fable | rep 3  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  B_autopos_dir_presidente_open | claude_fable | rep 4  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  B_pid_pt_presidente_open | claude_fable | rep 0  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  B_pid_pt_presidente_open | claude_fable | rep 1  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  B_pid_pt_presidente_open | claude_fable | rep 2  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  B_pid_pt_presidente_open | claude_fable | rep 3  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  B_pid_pt_presidente_open | claude_fable | rep 4  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  B_pid_bolso_presidente_open | claude_fable | rep 0  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  B_pid_bolso_presidente_open | claude_fable | rep 1  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  B_pid_bolso_presidente_open | claude_fable | rep 2  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  B_pid_bolso_presidente_open | claude_fable | rep 3  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  B_pid_bolso_presidente_open | claude_fable | rep 4  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  C_voto_lula_bolsa_familia_left_presidente_open | claude_fable | rep 0  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  C_voto_lula_bolsa_familia_left_presidente_open | claude_fable | rep 1  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  C_voto_lula_bolsa_familia_left_presidente_open | claude_fable | rep 2  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  C_voto_lula_bolsa_familia_left_presidente_open | claude_fable | rep 3  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  C_voto_lula_bolsa_familia_left_presidente_open | claude_fable | rep 4  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  C_voto_lula_bolsa_familia_right_presidente_open | claude_fable | rep 0  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  C_voto_lula_bolsa_familia_right_presidente_open | claude_fable | rep 1  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  C_voto_lula_bolsa_familia_right_presidente_open | claude_fable | rep 2  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  C_voto_lula_bolsa_familia_right_presidente_open | claude_fable | rep 3  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  C_voto_lula_bolsa_familia_right_presidente_open | claude_fable | rep 4  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  C_voto_lula_ambiente_left_presidente_open | claude_fable | rep 0  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  C_voto_lula_ambiente_left_presidente_open | claude_fable | rep 1  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  C_voto_lula_ambiente_left_presidente_open | claude_fable | rep 2  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  C_voto_lula_ambiente_left_presidente_open | claude_fable | rep 3  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  C_voto_lula_ambiente_left_presidente_open | claude_fable | rep 4  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  C_voto_lula_ambiente_right_presidente_open | claude_fable | rep 0  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  C_voto_lula_ambiente_right_presidente_open | claude_fable | rep 1  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  C_voto_lula_ambiente_right_presidente_open | claude_fable | rep 2  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  C_voto_lula_ambiente_right_presidente_open | claude_fable | rep 3  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  C_voto_lula_ambiente_right_presidente_open | claude_fable | rep 4  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  C_voto_lula_minorias_left_presidente_open | claude_fable | rep 0  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  C_voto_lula_minorias_left_presidente_open | claude_fable | rep 1  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  C_voto_lula_minorias_left_presidente_open | claude_fable | rep 2  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  C_voto_lula_minorias_left_presidente_open | claude_fable | rep 3  (45 chars)  ERROR: 'NoneType' object is not subscriptable
  C_voto_lula_minorias_left_presidente_open | claude_fable | rep 4  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  C_voto_lula_minorias_right_presidente_open | claude_fable | rep 0  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  C_voto_lula_minorias_right_presidente_open | claude_fable | rep 1  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  C_voto_lula_minorias_right_presidente_open | claude_fable | rep 2  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  C_voto_lula_minorias_right_presidente_open | claude_fable | rep 3  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  C_voto_lula_minorias_right_presidente_open | claude_fable | rep 4  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  C_voto_lula_seguranca_left_presidente_open | claude_fable | rep 0  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  C_voto_lula_seguranca_left_presidente_open | claude_fable | rep 1  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  C_voto_lula_seguranca_left_presidente_open | claude_fable | rep 2  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  C_voto_lula_seguranca_left_presidente_open | claude_fable | rep 3  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  C_voto_lula_seguranca_left_presidente_open | claude_fable | rep 4  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  C_voto_lula_seguranca_right_presidente_open | claude_fable | rep 0  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  C_voto_lula_seguranca_right_presidente_open | claude_fable | rep 1  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  C_voto_lula_seguranca_right_presidente_open | claude_fable | rep 2  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  C_voto_lula_seguranca_right_presidente_open | claude_fable | rep 3  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  C_voto_lula_seguranca_right_presidente_open | claude_fable | rep 4  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  C_voto_lula_privatizacao_left_presidente_open | claude_fable | rep 0  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  C_voto_lula_privatizacao_left_presidente_open | claude_fable | rep 1  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  C_voto_lula_privatizacao_left_presidente_open | claude_fable | rep 2  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  C_voto_lula_privatizacao_left_presidente_open | claude_fable | rep 3  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  C_voto_lula_privatizacao_left_presidente_open | claude_fable | rep 4  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  C_voto_lula_privatizacao_right_presidente_open | claude_fable | rep 0  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  C_voto_lula_privatizacao_right_presidente_open | claude_fable | rep 1  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  C_voto_lula_privatizacao_right_presidente_open | claude_fable | rep 2  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  C_voto_lula_privatizacao_right_presidente_open | claude_fable | rep 3  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  C_voto_lula_privatizacao_right_presidente_open | claude_fable | rep 4  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  C_voto_lula_aborto_left_presidente_open | claude_fable | rep 0  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  C_voto_lula_aborto_left_presidente_open | claude_fable | rep 1  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  C_voto_lula_aborto_left_presidente_open | claude_fable | rep 2  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  C_voto_lula_aborto_left_presidente_open | claude_fable | rep 3  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  C_voto_lula_aborto_left_presidente_open | claude_fable | rep 4  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  C_voto_lula_aborto_right_presidente_open | claude_fable | rep 0  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  C_voto_lula_aborto_right_presidente_open | claude_fable | rep 1  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  C_voto_lula_aborto_right_presidente_open | claude_fable | rep 2  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  C_voto_lula_aborto_right_presidente_open | claude_fable | rep 3  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  C_voto_lula_aborto_right_presidente_open | claude_fable | rep 4  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  C_voto_bolso_bolsa_familia_left_presidente_open | claude_fable | rep 0  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  C_voto_bolso_bolsa_familia_left_presidente_open | claude_fable | rep 1  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  C_voto_bolso_bolsa_familia_left_presidente_open | claude_fable | rep 2  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  C_voto_bolso_bolsa_familia_left_presidente_open | claude_fable | rep 3  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  C_voto_bolso_bolsa_familia_left_presidente_open | claude_fable | rep 4  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  C_voto_bolso_bolsa_familia_right_presidente_open | claude_fable | rep 0  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  C_voto_bolso_bolsa_familia_right_presidente_open | claude_fable | rep 1  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  C_voto_bolso_bolsa_familia_right_presidente_open | claude_fable | rep 2  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  C_voto_bolso_bolsa_familia_right_presidente_open | claude_fable | rep 3  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  C_voto_bolso_bolsa_familia_right_presidente_open | claude_fable | rep 4  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  C_voto_bolso_ambiente_left_presidente_open | claude_fable | rep 0  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  C_voto_bolso_ambiente_left_presidente_open | claude_fable | rep 1  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  C_voto_bolso_ambiente_left_presidente_open | claude_fable | rep 2  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  C_voto_bolso_ambiente_left_presidente_open | claude_fable | rep 3  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  C_voto_bolso_ambiente_left_presidente_open | claude_fable | rep 4  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  C_voto_bolso_ambiente_right_presidente_open | claude_fable | rep 0  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  C_voto_bolso_ambiente_right_presidente_open | claude_fable | rep 1  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  C_voto_bolso_ambiente_right_presidente_open | claude_fable | rep 2  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  C_voto_bolso_ambiente_right_presidente_open | claude_fable | rep 3  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  C_voto_bolso_ambiente_right_presidente_open | claude_fable | rep 4  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  C_voto_bolso_minorias_left_presidente_open | claude_fable | rep 0  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  C_voto_bolso_minorias_left_presidente_open | claude_fable | rep 1  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  C_voto_bolso_minorias_left_presidente_open | claude_fable | rep 2  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  C_voto_bolso_minorias_left_presidente_open | claude_fable | rep 3  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  C_voto_bolso_minorias_left_presidente_open | claude_fable | rep 4  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  C_voto_bolso_minorias_right_presidente_open | claude_fable | rep 0  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
  C_voto_bolso_minorias_right_presidente_open | claude_fable | rep 1  (206 chars)  ERROR: Error code: 404 - {'error': {'message': 'Claude Fable 5 is n
